(41,44)
(42,44)
(43,44)
(44,44)
(45,44)
(46,44)
(47,44)
(48,44)
(49,44)
(50,44)
(51,44)
(52,44)
(53,44)
(54,44)
(55,44)
(56,44)
(57,44)
(58,44)
(41,45)
(58,45)
(41,46)
(58,46)
(41,47)
(58,47)
(41,48)
(58,48)
(41,49)
(50,49)
(51,49)
(52,49)
(53,49)
(54,49)
(58,49)
(41,50)
(50,50)
(51,50)
(52,50)
(53,50)
(54,50)
(58,50)
(41,51)
(50,51)
(51,51)
(52,51)
(53,51)
(54,51)
(57,51)
(58,51)
(41,52)
(46,52)
(47,52)
(48,52)
(49,52)
(50,52)
(51,52)
(52,52)
(53,52)
(54,52)
(58,52)
(41,53)
(42,53)
(43,53)
(44,53)
(45,53)
(46,53)
(47,53)
(48,53)
(49,53)
(50,53)
(51,53)
(52,53)
(53,53)
(54,53)
(58,53)
(41,54)
(56,54)
(57,54)
(58,54)
(41,55)
(58,55)
(41,56)
(42,56)
(43,56)
(44,56)
(45,56)
(46,56)
(47,56)
(48,56)
(49,56)
(50,56)
(51,56)
(52,56)
(53,56)
(54,56)
(55,56)
(56,56)
(57,56)
(58,56)
